"Perioden";"Regio's";"Totaal levendgeborenen";"Bruto geboortecijfer";"Levendgeboren jongens";"Levendgeboren meisjes";"Algemeen vruchtbaarheidscijfer";"Gestandaardiseerd vruchtbaarheidscijfer";"Gemiddeld kindertal per vrouw";"Totaal levendgeborenen";"Jonger dan 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 jaar of ouder";"Totaal levendgeborenen";"1e kind";"2e kind";"3e kind";"4e of volgende kinderen";"Totaal levendgeborenen";"Moeder gehuwd";"Moeder niet-gehuwd";"Gemeente";"Landsdeel";"Provincie";"COROP-gebied";"Stadsgewest";"Grootstedelijke agglomeratie"
"2007";"Zuidoost-Zuid-Holland (CR)";"4493";"11.5";"2263";"2230";"49.3";"49.4";"1.85";"4493";"55";"561";"1446";"1540";"762";"121";"8";"4493";"1931";"1565";"641";"356";"4493";"3232";"1261";"";"03";"28";"30";"";""
"2007";"Zeeuwsch-Vlaanderen (CR)";"900";"8.4";"468";"432";"40.8";"43.6";"1.69";"900";"7";"101";"281";"333";"159";"19";"-";"900";"464";"306";"98";"32";"900";"571";"329";"";"03";"29";"31";"";""
"2007";"Overig Zeeland (CR)";"2851";"10.4";"1464";"1387";"48.1";"50.1";"1.88";"2851";"35";"385";"878";"948";"500";"103";"2";"2851";"1190";"970";"408";"283";"2851";"1971";"880";"";"03";"29";"32";"";""
"2007";"West-Noord-Brabant (CR)";"6095";"10.0";"3077";"3018";"43.0";"44.3";"1.64";"6095";"53";"479";"1741";"2312";"1311";"189";"10";"6095";"2865";"2308";"686";"236";"6095";"3699";"2396";"";"04";"30";"33";"";""
"2007";"Midden-Noord-Brabant (CR)";"4813";"10.6";"2475";"2338";"44.5";"45.0";"1.66";"4813";"52";"407";"1324";"1892";"979";"155";"4";"4813";"2192";"1836";"590";"195";"4813";"2916";"1897";"";"04";"30";"34";"";""
"2007";"Noordoost-Noord-Brabant (CR)";"6750";"10.7";"3404";"3346";"46.5";"48.4";"1.78";"6750";"42";"411";"1760";"2805";"1534";"191";"7";"6750";"3053";"2608";"863";"226";"6750";"4181";"2569";"";"04";"30";"35";"";""
"2007";"Zuidoost-Noord-Brabant (CR)";"7669";"10.5";"3981";"3688";"45.9";"46.8";"1.73";"7669";"73";"557";"2059";"3159";"1612";"206";"3";"7669";"3577";"2918";"919";"255";"7669";"4748";"2921";"";"04";"30";"36";"";""
"2007";"Noord-Limburg (CR)";"2777";"10.0";"1436";"1341";"44.7";"48.2";"1.81";"2777";"19";"200";"836";"1164";"490";"65";"3";"2777";"1240";"1106";"346";"85";"2777";"1735";"1042";"";"04";"31";"37";"";""
"2007";"Midden-Limburg (CR)";"1985";"8.5";"1008";"977";"38.7";"42.7";"1.60";"1985";"14";"155";"556";"796";"400";"62";"2";"1985";"937";"745";"225";"78";"1985";"1251";"734";"";"04";"31";"38";"";""
"2007";"Zuid-Limburg (CR)";"4696";"7.7";"2445";"2251";"34.3";"38.0";"1.41";"4696";"90";"478";"1294";"1774";"902";"152";"6";"4696";"2319";"1717";"503";"157";"4696";"2687";"2009";"";"04";"31";"39";"";""
"2007";"Flevoland (CR)";"5219";"13.9";"2723";"2496";"53.5";"53.3";"2.00";"5219";"88";"690";"1688";"1707";"870";"165";"11";"5219";"2243";"1881";"713";"382";"5219";"3168";"2051";"";"02";"24";"40";"";""
"2007";"Groningen (SG)";"3481";"10.1";"1749";"1732";"39.8";"39.5";"1.49";"3481";"26";"282";"887";"1332";"792";"157";"5";"3481";"1571";"1359";"423";"128";"3481";"1727";"1754";"";"";"";"";"01";""
"2007";"Leeuwarden (SG)";"1734";"10.8";"909";"825";"45.3";"45.4";"1.68";"1734";"23";"188";"505";"649";"318";"51";"-";"1734";"824";"618";"236";"56";"1734";"904";"830";"";"";"";"";"02";""
"2007";"Zwolle (SG)";"2245";"13.1";"1139";"1106";"52.7";"49.9";"1.84";"2245";"26";"177";"610";"912";"454";"64";"2";"2245";"1023";"807";"314";"101";"2245";"1471";"774";"";"";"";"";"03";""
"2007";"Enschede (SG)";"3477";"11.2";"1757";"1720";"48.5";"47.5";"1.75";"3477";"50";"336";"996";"1312";"697";"80";"6";"3477";"1570";"1300";"466";"141";"3477";"2064";"1413";"";"";"";"";"04";""
"2007";"Apeldoorn (SG)";"2153";"10.2";"1066";"1087";"46.1";"48.4";"1.80";"2153";"14";"193";"559";"843";"463";"80";"1";"2153";"943";"837";"274";"99";"2153";"1307";"846";"";"";"";"";"05";""
"2007";"Arnhem (SG)";"3811";"10.9";"1913";"1898";"45.9";"45.2";"1.65";"3811";"35";"312";"989";"1455";"864";"150";"6";"3811";"1855";"1422";"410";"124";"3811";"2153";"1658";"";"";"";"";"06";""
"2007";"Nijmegen (SG)";"2711";"9.7";"1418";"1293";"37.8";"37.6";"1.40";"2711";"26";"174";"621";"1134";"648";"106";"2";"2711";"1315";"1014";"307";"75";"2711";"1424";"1287";"";"";"";"";"07";""
"2007";"Amersfoort (SG)";"3660";"13.4";"1858";"1802";"55.5";"54.9";"2.01";"3660";"22";"278";"949";"1394";"874";"139";"4";"3660";"1544";"1428";"504";"184";"3660";"2503";"1157";"";"";"";"";"08";""
"2007";"Utrecht (SG)";"8028";"13.6";"4075";"3953";"50.0";"44.7";"1.65";"8028";"55";"545";"1757";"3213";"2110";"337";"11";"8028";"3745";"3002";"951";"330";"8028";"4767";"3261";"";"";"";"";"09";""
"2007";"Amsterdam (SG)";"19075";"12.9";"9769";"9306";"48.7";"43.9";"1.61";"19075";"205";"1789";"4347";"6835";"4851";"1000";"48";"19075";"9289";"6636";"2204";"946";"19075";"10155";"8920";"";"";"";"";"10";""
"2007";"Haarlem (SG)";"4219";"10.4";"2177";"2042";"45.4";"46.8";"1.69";"4219";"35";"317";"969";"1519";"1179";"195";"5";"4219";"1915";"1607";"544";"153";"4219";"2325";"1894";"";"";"";"";"11";""
"2007";"Leiden (SG)";"3543";"10.6";"1760";"1783";"42.9";"42.9";"1.57";"3543";"20";"236";"891";"1345";"896";"148";"7";"3543";"1570";"1357";"453";"163";"3543";"2321";"1222";"";"";"";"";"12";""
"2007";"'s-Gravenhage (SG)";"11877";"11.9";"6050";"5827";"48.7";"46.0";"1.69";"11877";"158";"1321";"3087";"4191";"2604";"489";"27";"11877";"5602";"4240";"1499";"536";"11877";"6917";"4960";"";"";"";"";"13";""
"2007";"Rotterdam (SG)";"13150";"11.2";"6657";"6493";"45.6";"43.4";"1.60";"13150";"215";"1685";"3792";"4366";"2566";"504";"22";"13150";"6135";"4499";"1636";"880";"13150";"7274";"5876";"";"";"";"";"14";""
"2007";"Dordrecht (SG)";"3155";"11.3";"1586";"1569";"48.2";"47.9";"1.79";"3155";"38";"428";"1018";"1063";"518";"86";"4";"3155";"1399";"1092";"456";"208";"3155";"2166";"989";"";"";"";"";"15";""
"2007";"Breda (SG)";"3344";"10.7";"1695";"1649";"44.8";"44.8";"1.64";"3344";"29";"247";"860";"1344";"759";"102";"3";"3344";"1533";"1323";"370";"118";"3344";"1931";"1413";"";"";"";"";"16";""
"2007";"Tilburg (SG)";"3126";"10.8";"1603";"1523";"43.7";"43.3";"1.60";"3126";"44";"262";"821";"1241";"642";"113";"3";"3126";"1485";"1163";"361";"117";"3126";"1757";"1369";"";"";"";"";"17";""
"2007";"'s-Hertogenbosch (SG)";"2181";"11.5";"1082";"1099";"47.8";"46.6";"1.70";"2181";"12";"149";"546";"851";"553";"69";"1";"2181";"1069";"788";"259";"65";"2181";"1229";"952";"";"";"";"";"18";""
"2007";"Eindhoven (SG)";"4290";"10.6";"2246";"2044";"45.6";"44.5";"1.63";"4290";"45";"339";"1099";"1702";"965";"137";"3";"4290";"2064";"1580";"509";"137";"4290";"2583";"1707";"";"";"";"";"19";""
"2007";"Geleen/Sittard (SG)";"1171";"7.7";"608";"563";"34.8";"38.9";"1.45";"1171";"16";"100";"328";"452";"232";"41";"2";"1171";"598";"411";"125";"37";"1171";"689";"482";"";"";"";"";"20";""
"2007";"Heerlen (SG)";"2045";"8.0";"1074";"971";"36.6";"40.6";"1.52";"2045";"53";"263";"607";"723";"344";"54";"1";"2045";"1039";"725";"206";"75";"2045";"1131";"914";"";"";"";"";"21";""
"2007";"Maastricht (SG)";"1325";"7.3";"681";"644";"31.2";"34.1";"1.27";"1325";"18";"107";"309";"540";"294";"55";"2";"1325";"603";"520";"159";"43";"1325";"748";"577";"";"";"";"";"22";""
"2007";"Groningen (GA)";"2090";"10.4";"1030";"1060";"36.4";"33.7";"1.34";"2090";"21";"196";"524";"780";"465";"101";"3";"2090";"1038";"779";"207";"66";"2090";"893";"1197";"";"";"";"";"01";"01"
"2007";"Leeuwarden (GA)";"1050";"11.3";"532";"518";"43.7";"41.9";"1.55";"1050";"21";"133";"319";"364";"179";"34";"-";"1050";"533";"366";"122";"29";"1050";"500";"550";"";"";"";"";"02";"02"
"2007";"Zwolle (GA)";"1662";"14.4";"851";"811";"54.4";"48.9";"1.80";"1662";"22";"139";"446";"678";"332";"44";"1";"1662";"800";"588";"207";"67";"1662";"1019";"643";"";"";"";"";"03";"03"
"2007";"Enschede (GA)";"1764";"11.4";"882";"882";"47.6";"44.9";"1.65";"1764";"38";"210";"562";"597";"307";"48";"2";"1764";"811";"646";"225";"82";"1764";"1001";"763";"";"";"";"";"04";"04"
"2007";"Apeldoorn (GA)";"1653";"10.6";"830";"823";"47.2";"48.1";"1.79";"1653";"13";"157";"435";"637";"355";"55";"1";"1653";"745";"639";"200";"69";"1653";"1001";"652";"";"";"";"";"05";"05"
"2007";"Arnhem (GA)";"1833";"12.7";"899";"934";"48.4";"42.0";"1.55";"1833";"23";"196";"490";"663";"384";"74";"3";"1833";"968";"602";"196";"67";"1833";"938";"895";"";"";"";"";"06";"06"
"2007";"Nijmegen (GA)";"1669";"10.4";"844";"825";"36.7";"33.9";"1.32";"1669";"23";"131";"362";"681";"398";"74";"-";"1669";"834";"602";"179";"54";"1669";"816";"853";"";"";"";"";"07";"07"
"2007";"Amersfoort (GA)";"2413";"14.3";"1234";"1179";"57.1";"55.0";"2.00";"2413";"10";"159";"580";"958";"609";"96";"1";"2413";"1038";"961";"304";"110";"2413";"1561";"852";"";"";"";"";"08";"08"
"2007";"Utrecht (GA)";"6155";"14.4";"3085";"3070";"49.9";"42.1";"1.58";"6155";"39";"440";"1401";"2452";"1562";"254";"7";"6155";"2991";"2246";"665";"253";"6155";"3547";"2608";"";"";"";"";"09";"09"
"2007";"Amsterdam (GA)";"13411";"13.1";"6870";"6541";"48.6";"42.0";"1.55";"13411";"149";"1289";"2801";"4722";"3631";"777";"42";"13411";"6719";"4440";"1506";"746";"13411";"6892";"6519";"";"";"";"";"10";"10"
"2007";"Haarlem (GA)";"2162";"11.4";"1127";"1035";"48.9";"47.3";"1.68";"2162";"17";"142";"415";"791";"679";"113";"5";"2162";"995";"817";"266";"84";"2162";"1214";"948";"";"";"";"";"11";"11"
"2007";"Leiden (GA)";"2795";"11.2";"1381";"1414";"43.9";"42.7";"1.57";"2795";"18";"201";"726";"1032";"691";"120";"7";"2795";"1247";"1045";"367";"136";"2795";"1873";"922";"";"";"";"";"12";"12"
"2007";"'s-Gravenhage (GA)";"7714";"12.4";"3946";"3768";"50.3";"45.2";"1.67";"7714";"112";"988";"1970";"2583";"1705";"334";"22";"7714";"3736";"2655";"959";"364";"7714";"4374";"3340";"";"";"";"";"13";"13"
"2007";"Rotterdam (GA)";"11417";"11.6";"5792";"5625";"46.3";"43.1";"1.59";"11417";"204";"1556";"3308";"3706";"2180";"444";"19";"11417";"5335";"3846";"1430";"806";"11417";"6158";"5259";"";"";"";"";"14";"14"
"2007";"Dordrecht (GA)";"2568";"10.9";"1290";"1278";"46.5";"46.2";"1.72";"2568";"36";"365";"833";"852";"404";"75";"3";"2568";"1161";"875";"363";"169";"2568";"1697";"871";"";"";"";"";"15";"15"
"2007";"Breda (GA)";"2008";"11.8";"1014";"994";"47.2";"45.0";"1.65";"2008";"21";"153";"471";"805";"486";"70";"2";"2008";"925";"794";"209";"80";"2008";"1087";"921";"";"";"";"";"16";"16"
"2007";"Tilburg (GA)";"2490";"11.1";"1274";"1216";"43.8";"42.0";"1.56";"2490";"38";"227";"664";"974";"490";"94";"3";"2490";"1201";"920";"271";"98";"2490";"1351";"1139";"";"";"";"";"17";"17"
"2007";"'s-Hertogenbosch (GA)";"1911";"11.8";"943";"968";"48.3";"45.9";"1.67";"1911";"11";"140";"488";"728";"483";"60";"1";"1911";"965";"672";"218";"56";"1911";"1055";"856";"";"";"";"";"18";"18"
