"Perioden";"Regio's";"Totaal levendgeborenen";"Bruto geboortecijfer";"Levendgeboren jongens";"Levendgeboren meisjes";"Algemeen vruchtbaarheidscijfer";"Gestandaardiseerd vruchtbaarheidscijfer";"Gemiddeld kindertal per vrouw";"Totaal levendgeborenen";"Jonger dan 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 jaar of ouder";"Totaal levendgeborenen";"1e kind";"2e kind";"3e kind";"4e of volgende kinderen";"Totaal levendgeborenen";"Moeder gehuwd";"Moeder niet-gehuwd";"Gemeente";"Landsdeel";"Provincie";"COROP-gebied";"Stadsgewest";"Grootstedelijke agglomeratie"
"2000";"'s-Gravenhage (SG)";"10768";"12.5";"5442";"5326";"49.9";"48.7";"1.62";"10768";"200";"1152";"2828";"4085";"2116";"367";"20";"10768";"5175";"3650";"1314";"629";"10768";"7370";"3398";"";"";"";"";"13";""
"2000";"Rotterdam (SG)";"14657";"12.4";"7496";"7161";"49.4";"48.3";"1.63";"14657";"381";"2054";"4189";"5187";"2431";"389";"26";"14657";"7050";"4871";"1776";"960";"14657";"9910";"4747";"";"";"";"";"14";""
"2000";"Dordrecht (SG)";"3836";"13.7";"2000";"1836";"56.0";"55.8";"1.87";"3836";"66";"441";"1224";"1469";"565";"67";"4";"3836";"1733";"1340";"499";"264";"3836";"3037";"799";"";"";"";"";"15";""
"2000";"Breda (SG)";"3695";"12.4";"1903";"1792";"49.9";"50.0";"1.63";"3695";"46";"252";"978";"1669";"661";"88";"1";"3695";"1772";"1315";"483";"125";"3695";"2777";"918";"";"";"";"";"16";""
"2000";"Tilburg (SG)";"3764";"13.4";"1889";"1875";"52.4";"52.0";"1.70";"3764";"63";"305";"1022";"1701";"594";"79";"-";"3764";"1841";"1308";"445";"170";"3764";"2738";"1026";"";"";"";"";"17";""
"2000";"'s-Hertogenbosch (SG)";"2424";"13.3";"1229";"1195";"52.4";"51.0";"1.66";"2424";"29";"154";"605";"1121";"447";"67";"1";"2424";"1164";"882";"300";"78";"2424";"1794";"630";"";"";"";"";"18";""
"2000";"Eindhoven (SG)";"4900";"12.7";"2505";"2395";"52.6";"51.8";"1.69";"4900";"62";"371";"1274";"2187";"898";"100";"8";"4900";"2431";"1747";"530";"192";"4900";"3688";"1212";"";"";"";"";"19";""
"2000";"Geleen/Sittard (SG)";"1768";"10.5";"886";"882";"44.1";"47.1";"1.55";"1768";"21";"114";"457";"816";"314";"45";"1";"1768";"867";"680";"163";"58";"1768";"1359";"409";"";"";"";"";"20";""
"2000";"Heerlen (SG)";"2614";"9.8";"1311";"1303";"41.6";"45.0";"1.55";"2614";"48";"330";"772";"1028";"385";"50";"1";"2614";"1338";"965";"238";"73";"2614";"1917";"697";"";"";"";"";"21";""
"2000";"Maastricht (SG)";"1841";"9.9";"941";"900";"39.4";"41.9";"1.39";"1841";"27";"135";"473";"828";"328";"49";"1";"1841";"946";"679";"161";"55";"1841";"1383";"458";"";"";"";"";"22";""
"2000";"Groningen (GA)";"2083";"10.8";"1057";"1026";"37.2";"36.1";"1.26";"2083";"58";"215";"537";"758";"445";"65";"5";"2083";"1091";"719";"205";"68";"2083";"1139";"944";"";"";"";"";"01";"01"
"2000";"Leeuwarden (GA)";"979";"11.0";"497";"482";"41.3";"42.5";"1.40";"979";"27";"121";"291";"361";"159";"20";"-";"979";"478";"353";"106";"42";"979";"566";"413";"";"";"";"";"02";"02"
"2000";"Zwolle (GA)";"1527";"14.4";"771";"756";"52.6";"49.9";"1.65";"1527";"37";"123";"438";"658";"246";"25";"-";"1527";"721";"564";"195";"47";"1527";"1122";"405";"";"";"";"";"03";"03"
"2000";"Enschede (GA)";"1834";"12.2";"943";"891";"50.5";"49.0";"1.61";"1834";"23";"211";"564";"717";"278";"38";"3";"1834";"872";"679";"203";"80";"1834";"1313";"521";"";"";"";"";"04";"04"
"2000";"Apeldoorn (GA)";"1888";"12.3";"994";"894";"51.5";"52.8";"1.74";"1888";"27";"148";"544";"797";"329";"43";"-";"1888";"904";"653";"218";"113";"1888";"1417";"471";"";"";"";"";"05";"05"
"2000";"Arnhem (GA)";"1913";"13.6";"949";"964";"50.9";"46.2";"1.56";"1913";"35";"219";"527";"731";"338";"62";"1";"1913";"1001";"617";"215";"80";"1913";"1197";"716";"";"";"";"";"06";"06"
"2000";"Nijmegen (GA)";"1786";"11.7";"918";"868";"41.5";"39.5";"1.34";"1786";"19";"190";"423";"650";"422";"80";"2";"1786";"888";"613";"206";"79";"1786";"1106";"680";"";"";"";"";"07";"07"
